agecategory,sex,strata,cs,nscv,cscv,totalFSFV,totalFSCV,totalNSFV
0,male,non-maori,0,0,0,0,0,0
5,male,non-maori,0,0,0,0,0,0
10,male,non-maori,0,0,0,0,0,0
15,male,non-maori,0,0,0,0,0,0
20,male,non-maori,0.15073004,0.04273529,0.01926996,0.163,0,0.087
25,male,non-maori,0.144627187,0.033509388,0.025372813,0.163,0,0.087
30,male,non-maori,0.15066008,0.026008122,0.02933992,0.163,0,0.087
35,male,non-maori,0.138486832,0.019978882,0.031513168,0.163,0,0.087
40,male,non-maori,0.127780103,0.015188277,0.032219897,0.163,0,0.087
45,male,non-maori,0.118234162,0.011425536,0.031765838,0.083,0,0.087
50,male,non-maori,0.099570183,0.00850419,0.030429817,0.083,0,0.087
55,male,non-maori,0.091539911,0.006262367,0.028460089,0.083,0,0.087
60,male,non-maori,0.073927831,0.00456204,0.026072169,0.083,0,0.087
65,male,non-maori,0.056551958,0.003287499,0.023448042,0.083,0,0.087
70,male,non-maori,0.039263402,0.002343341,0.020736598,0.083,0,0.087
75,male,non-maori,0.031944854,0.001652162,0.018055146,0.083,0,0.087
80,male,non-maori,0.016038343,0.001038343,0.013961657,0.083,0,0.087
85,male,non-maori,0.010571576,0.000571576,0.009428424,0.083,0,0.087
90,male,non-maori,0.010471952,0.000471952,0.009528048,0.083,0,0.087
95,male,non-maori,0.005194846,0.000194846,0.004805154,0.083,0,0.087
100,male,non-maori,0.005160885,0.000160885,0.004839115,0.083,0,0.087
105,male,non-maori,0.005132844,0.000132844,0.004867156,0.083,0,0.087
0,male,maori,0,0,0,0,0,0
5,male,maori,0,0,0,0,0,0
10,male,maori,0,0,0,0,0,0
15,male,maori,0,0,0,0,0,0
20,male,maori,0.346242626,0.030509941,0.013757374,0.163,0,0.087
25,male,maori,0.351603659,0.024295696,0.018396341,0.163,0,0.087
30,male,maori,0.348368735,0.01917485,0.021631265,0.163,0,0.087
35,male,maori,0.326343572,0.014997825,0.023656428,0.163,0,0.087
40,male,maori,0.315338997,0.011625057,0.024661003,0.163,0,0.087
45,male,maori,0.285174858,0.008929106,0.024825142,0.083,0,0.087
50,male,maori,0.255683074,0.006795826,0.024316926,0.083,0,0.087
55,male,maori,0.216709898,0.005124762,0.023290102,0.083,0,0.087
60,male,maori,0.188117471,0.003828947,0.021882529,0.083,0,0.087
65,male,maori,0.149784734,0.002834252,0.020215266,0.083,0,0.087
70,male,maori,0.111607759,0.002078417,0.018392241,0.083,0,0.087
75,male,maori,0.083499572,0.001509895,0.016500428,0.083,0,0.087
