agecategory,sex,strata,cs,nsqv_1,cscv
0,male,non-maori,0,0,0
5,male,non-maori,0,0,0
10,male,non-maori,0,0,0
15,male,non-maori,0,0,0
20,male,non-maori,0.0315,0.0505,0.0352
25,male,non-maori,0.0315,0.0505,0.0352
30,male,non-maori,0.0315,0.0505,0.0352
35,male,non-maori,0.0315,0.0505,0.0352
40,male,non-maori,0.0191,0.0306,0.0213
45,male,non-maori,0.0191,0.0306,0.0213
50,male,non-maori,0.0191,0.0306,0.0213
55,male,non-maori,0.0191,0.0306,0.0213
60,male,non-maori,0.084,0.0346,0.0241
65,male,non-maori,0.084,0.0346,0.0241
70,male,non-maori,0.084,0.0346,0.0241
75,male,non-maori,0.084,0.0346,0.0241
80,male,non-maori,0.084,0.0346,0.0241
85,male,non-maori,0.084,0.0346,0.0241
90,male,non-maori,0.084,0.0346,0.0241
95,male,non-maori,0.084,0.0346,0.0241
0,male,maori,0,0,0
5,male,maori,0,0,0
10,male,maori,0,0,0
15,male,maori,0,0,0
20,male,maori,0.0277,0.0444,0.0309
25,male,maori,0.0277,0.0444,0.0309
30,male,maori,0.0277,0.0444,0.0309
35,male,maori,0.0277,0.0444,0.0309
40,male,maori,0.0159,0.0255,0.0178
45,male,maori,0.0159,0.0255,0.0178
50,male,maori,0.0159,0.0255,0.0178
55,male,maori,0.0159,0.0255,0.0178
60,male,maori,0.0159,0.0255,0.0178
65,male,maori,0.0218,0.0349,0.0243
70,male,maori,0.0218,0.0349,0.0243
75,male,maori,0.0218,0.0349,0.0243
80,male,maori,0.0218,0.0349,0.0243
85,male,maori,0.0218,0.0349,0.0243
90,male,maori,0.0218,0.0349,0.0243
95,male,maori,0.0218,0.0349,0.0243
0,female,non-maori,0,0,0
5,female,non-maori,0,0,0
10,female,non-maori,0,0,0
15,female,non-maori,0,0,0
20,female,non-maori,0.0276,0.0443,0.0309
25,female,non-maori,0.0276,0.0443,0.0309
30,female,non-maori,0.0276,0.0443,0.0309
35,female,non-maori,0.0276,0.0443,0.0309
40,female,non-maori,0.0149,0.0238,0.0166
45,female,non-maori,0.0149,0.0238,0.0166
50,female,non-maori,0.0149,0.0238,0.0166
55,female,non-maori,0.0149,0.0238,0.0166
60,female,non-maori,0.0216,0.0346,0.0241
65,female,non-maori,0.0216,0.0346,0.0241
70,female,non-maori,0.0216,0.0346,0.0241
75,female,non-maori,0.0216,0.0346,0.0241
80,female,non-maori,0.0216,0.0346,0.0241
85,female,non-maori,0.0216,0.0346,0.0241
90,female,non-maori,0.0216,0.0346,0.0241
95,female,non-maori,0.0216,0.0346,0.0241
0,female,maori,0,0,0
5,female,maori,0,0,0
10,female,maori,0,0,0
15,female,maori,0,0,0
20,female,maori,0.0237,0.0379,0.0264
25,female,maori,0.0237,0.0379,0.0264
30,female,maori,0.0237,0.0379,0.0264
35,female,maori,0.0237,0.0379,0.0264
40,female,maori,0.0115,0.0184,0.0128
45,female,maori,0.0115,0.0184,0.0128
50,female,maori,0.0115,0.0184,0.0128
55,female,maori,0.0115,0.0184,0.0128
60,female,maori,0.0218,0.0349,0.0243
65,female,maori,0.0218,0.0349,0.0243
70,female,maori,0.0218,0.0349,0.0243
75,female,maori,0.0218,0.0349,0.0243
80,female,maori,0.0218,0.0349,0.0243
85,female,maori,0.0218,0.0349,0.0243
90,female,maori,0.0218,0.0349,0.0243
95,female,maori,0.0218,0.0349,0.0243
